company reports,"('000net', -4.585065678564867)","('earns', -4.63456788085799)","('000share', -4.653905067628765)","('qtr', -4.7066438109584166)","('otc', -5.2184004777616835)","('net', -5.32711429113291)","('nyse', -5.4910152866278805)","('quarter', -5.5274639293378405)","('share', -5.718548557812565)","('corp', -5.744546319796312)"
arms sales abroad,"('iran', -6.940182058780001)","('arms', -7.100546729292848)","('contra', -7.311720399573293)","('weapons', -7.676486388900678)","('reagan', -7.678173892869173)","('north', -7.752820823023178)","('affair', -7.860358502833871)","('administration', -7.911962911809342)","('military', -7.935051809869318)","('colonel', -7.935123895828418)"
sales,"('sales', -6.224066447855042)","('iran', -7.273458299116796)","('market', -7.306714098244575)","('arms', -7.412175742237214)","('taxes', -7.446065138762098)","('billion', -7.487609741886415)","('sold', -7.530319929053768)","('car', -7.585759090887868)","('bath', -7.608242258540358)","('industry', -7.610371197214466)"
foreign aid,"('aid', -6.470642216686439)","('nations', -7.136582825104464)","('foreign', -7.30328419383767)","('military', -7.323558259152986)","('countries', -7.356012091500646)","('administration', -7.360445257804058)","('bush', -7.508547935643366)","('economic', -7.5265216932592205)","('billion', -7.566715532892231)","('assistance', -7.6144750496689895)"
civil war and guerrilla warfare,"('rebels', -6.568077367190262)","('military', -6.597737460924766)","('nations', -6.725886169340385)","('troops', -6.726511265155506)","('peace', -6.737217655451165)","('forces', -6.744291322711171)","('bosnia', -6.8637496000570275)","('army', -6.868700363453777)","('guerrillas', -6.933095921368506)","('rebel', -6.93623594394645)"
"armament, defense and military forces","('military', -5.906387630937088)","('iraq', -6.022651411547451)","('weapons', -6.523848665700358)","('bush', -6.541157730925985)","('troops', -6.575404909275606)","('forces', -6.63313408765358)","('defense', -6.641471504675314)","('nuclear', -6.646150890041853)","('army', -6.648070720974275)","('administration', -6.6519712645615465)"
war and revolution,"('military', -6.425322673286793)","('troops', -6.691412164455361)","('forces', -6.748354880769047)","('army', -6.783943921635746)","('rebels', -6.810498974606994)","('nations', -6.819224985513405)","('peace', -6.846096126583095)","('soldiers', -6.911796472467241)","('bosnia', -7.103438630452138)","('fighting', -7.103681121922267)"
entertainment and amusements,"('tickets', -7.829685298426961)","('tomorrow', -7.9822326317138605)","('admission', -7.982465977731011)","('sunday', -7.988476747358788)","('music', -7.9924249616723575)","('theater', -8.10474999031919)","('avenue', -8.147569227457282)","('212', -8.16678926605832)","('museum', -8.270294610565937)","('information', -8.30347084532462)"
jazz,"('jazz', -6.602221549909193)","('music', -7.360638613256046)","('band', -7.461634854926937)","('musicians', -7.671461587546569)","('saxophonist', -7.8848984184459265)","('pianist', -7.968934002154283)","('blues', -7.978536748466459)","('piano', -8.051423978581365)","('concert', -8.085908767359312)","('bass', -8.1074570397977)"
music,"('music', -5.625297010585014)","('concert', -6.420352560137779)","('songs', -6.45495348154243)","('orchestra', -6.533698828763052)","('band', -6.59062597932734)","('opera', -6.7181538227513)","('jazz', -6.7266713006700725)","('song', -6.7655893809752445)","('musical', -6.778733907825011)","('album', -6.787123988566668)"
"suspensions, dismissals and resignations","('resigned', -6.875937448177537)","('resignation', -6.960142549522824)","('chairman', -7.12007297976861)","('board', -7.235886793252753)","('job', -7.353899668806451)","('resign', -7.437272060752542)","('suspended', -7.4405901648290484)","('vice', -7.481682871328805)","('announced', -7.512537751816562)","('officer', -7.515644983361536)"
executives and management,"('executives', -6.926789654629705)","('companies', -7.298994028516033)","('corporate', -7.304241281950319)","('management', -7.471023034518277)","('stock', -7.617464994156429)","('financial', -7.760164135275644)","('chairman', -7.7748705874998265)","('firm', -7.826531506116893)","('board', -7.842206198080288)","('employees', -7.886106974761858)"
appointments and executive changes,"('named', -6.003399528320875)","('vice', -6.137054429910238)","('chairman', -6.3943345932014095)","('officer', -6.685455813746055)","('senior', -6.6968154845027)","('advertising', -6.799603510087018)","('appointed', -6.857042496742443)","('media', -6.9827281817510185)","('operating', -7.108446895755186)","('position', -7.111447566012742)"
restaurants,"('restaurant', -6.063077158593488)","('menu', -6.5508533689596105)","('restaurants', -6.5798439122225885)","('food', -6.647351196630973)","('dishes', -6.7689612235119405)","('sauce', -6.772528064046612)","('chef', -6.824636666371443)","('dining', -6.9130155806862685)","('chicken', -6.999986835970251)","('wine', -7.064440606313945)"
grain,"('wheat', -7.638547064730915)","('corn', -7.72104229652371)","('grain', -7.82489830176813)","('bushel', -8.10827101099624)","('futures', -8.161269370727402)","('agriculture', -8.195451198012492)","('prices', -8.26160206451527)","('cents', -8.335934519420803)","('crop', -8.342232076110871)","('soybean', -8.399591190140843)"
baseball,"('baseball', -5.6275309004878675)","('game', -5.720742518449257)","('yankees', -5.798420658950196)","('season', -5.915830690748244)","('league', -5.973127589212483)","('mets', -5.983734089443631)","('team', -6.061531324560906)","('games', -6.067979592765771)","('inning', -6.265335693610149)","('manager', -6.384800646423085)"
religion and churches,"('jewish', -6.536452576961036)","('religious', -6.568287803590037)","('jews', -6.653269132674286)","('church', -6.662313121206954)","('muslim', -7.10764010358079)","('religion', -7.118797169519585)","('islamic', -7.181578380690903)","('catholic', -7.221013547156486)","('israel', -7.319336753711642)","('god', -7.337903012693806)"
islam,"('muslim', -6.600840973248123)","('islamic', -6.624764108712516)","('muslims', -6.8922478165352)","('islam', -7.068623073371953)","('religious', -7.364749452335812)","('mosque', -7.611922788528916)","('al', -7.7065502977278495)","('arab', -7.824880924677725)","('leaders', -7.906563460867102)","('iraq', -7.906812014868178)"
united states economy,"('economy', -6.289373811674864)","('economic', -6.413668751936083)","('growth', -6.733762132743654)","('inflation', -6.733951547375254)","('rate', -6.74673370427211)","('rates', -6.755802065424317)","('economists', -6.942888976819111)","('economist', -7.016665011019182)","('prices', -7.020749468969735)","('fed', -7.030519441589465)"
united states armament and defense,"('iraq', -5.8927957397539785)","('military', -5.961746238469348)","('bush', -6.479220687923755)","('iraqi', -6.544177570349692)","('pentagon', -6.58033928053136)","('troops', -6.60027647877623)","('defense', -6.6711383694604605)","('forces', -6.685831362263961)","('administration', -6.712062665937174)","('army', -6.747923524158048)"
boats and boating,"('boat', -6.85221602359263)","('yacht', -7.179114987827421)","('boats', -7.316930730252673)","('cup', -7.551224642772066)","('sailing', -7.673915614108559)","('race', -7.746286586408493)","('racing', -7.770193222473301)","('sail', -7.849811792643494)","('foot', -7.925502149467118)","('america', -7.968352316403251)"
mutual funds,"('funds', -6.172303607288095)","('fund', -6.43579568746171)","('mutual', -6.449974724522656)","('investors', -6.870789120624241)","('assets', -6.956944157596285)","('market', -7.000584278958358)","('stocks', -7.097616961933945)","('stock', -7.140659271266005)","('investment', -7.196323753023522)","('billion', -7.2269781267017965)"
motion pictures,"('film', -5.607270326790292)","('movie', -6.127226598623436)","('films', -6.384603279296117)","('movies', -6.694911112919703)","('directed', -6.917937497821087)","('hollywood', -7.002023782481227)","('story', -7.061054662846589)","('rated', -7.191120428331198)","('television', -7.296236823044359)","('music', -7.328953850252271)"
capital punishment,"('death', -6.6055076404199164)","('penalty', -6.610041834069667)","('execution', -7.092946139408938)","('court', -7.291927154016956)","('punishment', -7.373249784600325)","('murder', -7.514805765490181)","('executed', -7.561818260271066)","('sentence', -7.567969335859759)","('convicted', -7.579309930710407)","('capital', -7.600929001223257)"
homeless persons,"('homeless', -6.154412946060313)","('shelter', -7.027520234792967)","('shelters', -7.234384736176582)","('housing', -7.313068957571949)","('homelessness', -7.719458436576598)","('families', -7.748357478772273)","('services', -7.952375287181775)","('mayor', -7.99985322373471)","('social', -8.154125544646945)","('streets', -8.178962757402768)"
legislatures and parliaments,"('party', -7.065760935607252)","('legislature', -7.097784506519496)","('election', -7.139791954199677)","('assembly', -7.144151062506231)","('democratic', -7.2227879638217845)","('senate', -7.232520829985019)","('republican', -7.290289747460509)","('elections', -7.349827250660204)","('parliament', -7.417617479412666)","('democrats', -7.4406164303810405)"
federal taxes (us),"('tax', -6.49848108523659)","('taxes', -7.028178358353494)","('income', -7.2563399844326195)","('taxpayers', -7.6368230549982306)","('revenue', -7.663827348408565)","('budget', -7.733355115489867)","('congress', -7.85445945052453)","('billion', -7.915857913909999)","('pay', -7.966279291121106)","('deficit', -7.992644298874651)"
taxation,"('tax', -5.460495551258793)","('taxes', -5.976670978445543)","('income', -6.496679839638369)","('budget', -6.581617908916613)","('billion', -6.817346848793555)","('cuts', -6.902887186854657)","('pay', -6.923866342342884)","('revenue', -6.939789758941371)","('plan', -7.051116663127581)","('republican', -7.064585105882707)"
income tax,"('tax', -6.510616342360864)","('taxes', -7.008490709041677)","('income', -7.009005305663873)","('taxpayers', -7.586834073994673)","('budget', -7.7480545246387145)","('revenue', -7.773729649534036)","('pay', -7.95592976039845)","('billion', -8.077512158426089)","('deductions', -8.07867284540245)","('rate', -8.116793023230453)"
income,"('tax', -6.503887532799983)","('income', -6.7599233954563225)","('taxes', -7.003014269843358)","('taxpayers', -7.597706711766363)","('budget', -7.723934412190141)","('revenue', -7.787383629345015)","('pay', -7.842937204311757)","('rate', -7.8704166422213)","('billion', -7.971369137454345)","('incomes', -7.99237225788829)"
science and technology,"('science', -6.911668118528582)","('scientists', -7.451681847219469)","('dr', -7.5475631441855136)","('research', -7.590374675464107)","('technology', -7.631192046650502)","('scientific', -7.631867190607221)","('physics', -8.1371109057814)","('students', -8.207448018033825)","('professor', -8.351001266197937)","('computer', -8.384697366329524)"
vietnam war,"('vietnam', -6.846993498736796)","('vietnamese', -7.851189676280479)","('veterans', -8.091715221859854)","('hanoi', -8.311979099127665)","('military', -8.340524054143739)","('bush', -8.432448787549216)","('kerry', -8.456819150690755)","('americans', -8.513490583119047)","('missing', -8.794658072695407)","('editor', -8.800984756160124)"
railroads,"('train', -6.577654144128278)","('rail', -6.6421016160969435)","('railroad', -6.738528467046186)","('trains', -6.851632964485)","('amtrak', -7.005020488233798)","('station', -7.256625709660466)","('transportation', -7.302373030074458)","('transit', -7.381884313537507)","('commuter', -7.520164292155694)","('passengers', -7.543997879554231)"
strikes,"('strike', -6.081200914478419)","('union', -6.6207262997509275)","('workers', -6.846659284839186)","('labor', -7.237111300002918)","('contract', -7.337120553431886)","('unions', -7.486098538526761)","('negotiations', -7.662240588560668)","('strikers', -7.712604448398501)","('employees', -7.720933152937329)","('striking', -7.767088396579078)"
labor,"('workers', -6.05792813804182)","('labor', -6.366336571787677)","('jobs', -6.3896458241642895)","('union', -6.410824259631729)","('employees', -6.480874526564714)","('job', -6.6969623326646595)","('strike', -6.80952051668777)","('pay', -6.943008450802777)","('companies', -6.964700740170001)","('unions', -7.037351261133928)"
commuting,"('commuters', -7.808611880745074)","('commuter', -8.005040423915485)","('transit', -8.180122094101764)","('train', -8.23065683866118)","('transportation', -8.275163164783496)","('trains', -8.445035611598442)","('rail', -8.50957092856787)","('riders', -8.595429020309133)","('traffic', -8.626106128137842)","('station', -8.654591780011756)"
reform and reorganization,"('reform', -6.98005929078912)","('plan', -7.158657907179327)","('congress', -7.406615513678046)","('health', -7.450109851185979)","('care', -7.527344569590217)","('changes', -7.533958656868324)","('clinton', -7.561092087389279)","('economic', -7.6278534372582865)","('billion', -7.628909501091386)","('party', -7.637282683817166)"
travel and vacations,"('travel', -6.459132329899738)","('hotel', -6.848463016565119)","('trip', -7.150589840133999)","('visitors', -7.224543665878928)","('travelers', -7.226071601616934)","('hotels', -7.276382932249971)","('www', -7.334064195689767)","('rooms', -7.357675430214461)","('room', -7.366020028130801)","('editor', -7.411592822014133)"
atomic energy,"('nuclear', -6.228558585253288)","('plant', -6.835188577479665)","('reactor', -7.090068805583859)","('power', -7.214700863930196)","('energy', -7.220779907955918)","('reactors', -7.27740513496637)","('plants', -7.497164421930325)","('radioactive', -7.530482432219956)","('commission', -7.707479900208778)","('regulatory', -7.77798394124824)"
accidents and safety,"('accident', -6.466289837599346)","('safety', -6.482336333129139)","('police', -6.728522637386646)","('crash', -6.734091999797533)","('plane', -6.996222213213946)","('killed', -7.035147589781577)","('car', -7.093221260254627)","('flight', -7.210499638472759)","('spokesman', -7.258145481310656)","('injured', -7.275615214741721)"
airlines and airplanes,"('airlines', -6.1293585421366705)","('airline', -6.29316626397008)","('flight', -6.505580267283686)","('air', -6.52947815451968)","('plane', -6.55609565289964)","('airport', -6.596005028314653)","('sept', -6.785179463493093)","('passengers', -6.807342115881693)","('flights', -6.8369599866672575)","('aircraft', -6.837768233237855)"
transportation,"('transportation', -7.705249302799259)","('traffic', -7.8035911817619645)","('delays', -7.991208784914506)","('passengers', -8.096307554242058)","('transit', -8.146846753322993)","('airport', -8.28848387660842)","('flights', -8.28923622902819)","('trains', -8.31494087842347)","('airlines', -8.337810835630739)","('train', -8.43372139338352)"
delays (transportation),"('traffic', -7.953071561967971)","('delays', -7.972243205201075)","('passengers', -8.155948348859724)","('flights', -8.323154073138829)","('airlines', -8.397563804434238)","('airport', -8.405565446647682)","('transportation', -8.439517408300103)","('trains', -8.449768058088196)","('transit', -8.543033609480588)","('train', -8.579742724203564)"
public opinion,"('poll', -6.702989139296157)","('polls', -7.0738843736449395)","('voters', -7.080893559296343)","('bush', -7.10065207653141)","('campaign', -7.2448686811721705)","('election', -7.368866509575431)","('republican', -7.385710231509823)","('party', -7.394960739047359)","('democratic', -7.421553572098771)","('survey', -7.466141888562207)"
presidents and presidency (us),"('bush', -5.913859053840807)","('campaign', -5.989140004440572)","('presidential', -6.134806410840562)","('republican', -6.291063100566723)","('democratic', -6.370333858225124)","('clinton', -6.388450828034873)","('senator', -6.4733550720918185)","('gore', -6.514331647423343)","('election', -6.518977444862667)","('democrats', -6.59546688316953)"
elections,"('campaign', -5.815347918691142)","('election', -5.949088301873655)","('republican', -6.074253080668471)","('democratic', -6.0747679750718975)","('party', -6.162350793575378)","('voters', -6.226142070520551)","('bush', -6.296290474551447)","('candidates', -6.319366364826326)","('candidate', -6.375776690182439)","('democrats', -6.383753684422495)"
presidential elections (us),"('bush', -5.909551927478352)","('campaign', -5.953795685506993)","('presidential', -6.132932955375039)","('republican', -6.28722127834803)","('democratic', -6.345910032422336)","('senator', -6.460265460410787)","('gore', -6.475611933751255)","('clinton', -6.479847838590555)","('election', -6.495361970670988)","('democrats', -6.590683804167712)"
weather,"('weather', -6.774999658210187)","('snow', -7.233426055668452)","('warming', -7.248483054862564)","('rain', -7.392626600159045)","('storm', -7.4173145803578375)","('water', -7.432593542000039)","('temperatures', -7.496136007774664)","('climate', -7.517752217861192)","('global', -7.5308132030780595)","('heat', -7.656856297711429)"
snow and snowstorms,"('snow', -7.187787995719613)","('storm', -8.07325396742393)","('weather', -8.181817538190844)","('blizzard', -8.308587046644782)","('winter', -8.403093814347173)","('inches', -8.404280432273518)","('snowfall', -8.530999688227798)","('snowstorm', -8.662750714192493)","('ice', -8.764670595510557)","('temperatures', -8.9981094659741)"
horse racing,"('horse', -6.197432007416646)","('racing', -6.304780964698724)","('derby', -6.451768589488565)","('race', -6.527973498262973)","('belmont', -6.603254018860899)","('horses', -6.617590628358024)","('stakes', -6.664663221305302)","('races', -6.777478484992242)","('kentucky', -6.822783933021068)","('trainer', -6.857710689611701)"
jews,"('jewish', -6.128020793297721)","('jews', -6.238070238332578)","('israel', -7.075537028191514)","('holocaust', -7.094464901521634)","('rabbi', -7.128578687260757)","('nazi', -7.408667648939323)","('anti', -7.410030734446541)","('religious', -7.500668238830528)","('synagogue', -7.537977935654945)","('orthodox', -7.538885237725852)"
new year,"('eve', -8.044037791143761)","('midnight', -9.039576929108978)","('square', -9.135948031533044)","('champagne', -9.201395893743548)","('celebration', -9.262396315369335)","('party', -9.317688655729711)","('holiday', -9.40756427026781)","('celebrations', -9.415421107642072)","('music', -9.441810932278035)","('revelers', -9.47555716445178)"
holidays and special occasions,"('christmas', -6.79460251463904)","('holiday', -6.856101447642855)","('parade', -7.6254963015714505)","('thanksgiving', -7.883292775668728)","('eve', -7.890816572626829)","('avenue', -7.906429784399055)","('tree', -7.998805668149893)","('holidays', -8.043823558137928)","('season', -8.10335207949576)","('closed', -8.131470935215324)"
"divorce, separations and annulments","('divorce', -7.343864686669503)","('marriage', -8.221157337195208)","('divorced', -8.727620336272047)","('court', -8.777877485661342)","('husband', -8.936097608023987)","('married', -8.948633688125094)","('lawyer', -8.959348310155464)","('lawyers', -9.007182917646254)","('women', -9.017333173945111)","('matrimonial', -9.06330205172751)"
currency,"('dollar', -5.957037883090435)","('currency', -6.221028552022301)","('yen', -6.224684380249541)","('euro', -6.800625670232462)","('rates', -6.8593615534342)","('bank', -6.8936613264895215)","('currencies', -7.035778756865546)","('markets', -7.072260155766513)","('exchange', -7.152397179356282)","('trading', -7.182480186554525)"
homosexuality,"('gay', -5.982557169738144)","('lesbian', -6.95777443349032)","('homosexuals', -7.189968112339587)","('sex', -7.20593772527879)","('homosexual', -7.244249547085579)","('marriage', -7.32417105411797)","('rights', -7.327986653069359)","('homosexuality', -7.434608852188938)","('sexual', -7.447015665551115)","('gays', -7.4999352312851)"
privacy,"('privacy', -6.8280812988029185)","('information', -7.541193360602885)","('data', -8.039405802855631)","('court', -8.111588320162278)","('security', -8.116948143172674)","('internet', -8.184091178294484)","('records', -8.190477791951988)","('personal', -8.27371435103559)","('web', -8.406535752614065)","('computer', -8.41832481015849)"
law and legislation,"('senate', -6.441794962801456)","('legislation', -6.4855549525894585)","('congress', -6.58835645203141)","('republican', -6.71186712909077)","('court', -6.832951212520987)","('senator', -6.921999356555637)","('vote', -6.930784493524199)","('committee', -6.958306201646198)","('measure', -6.993708847736832)","('laws', -7.016859820230027)"
budgets and budgeting,"('budget', -5.634372084648193)","('billion', -6.278596007712571)","('spending', -6.291186704866497)","('tax', -6.398744785388823)","('cuts', -6.415850094069507)","('fiscal', -6.5107413583432345)","('deficit', -6.748249693061818)","('congress', -6.749498305713047)","('plan', -6.756099606269079)","('republican', -6.76714384803621)"
sex crimes,"('rape', -6.541362696629595)","('sexual', -6.578797656772207)","('police', -6.757962476083905)","('abuse', -7.002190102675037)","('woman', -7.092028318729325)","('raped', -7.115846985702376)","('sex', -7.138296585606854)","('sexually', -7.166186670511527)","('court', -7.225356811833267)","('charges', -7.3238326235177365)"
crime and criminals,"('police', -6.3757220254829265)","('crime', -6.659971560462701)","('court', -6.700119296137523)","('prison', -6.848587410735488)","('judge', -6.943121518699029)","('charges', -7.013471570281743)","('sept', -7.02527198447241)","('prosecutors', -7.050674247588538)","('trial', -7.07733209886584)","('criminal', -7.084080848846843)"
decisions and verdicts,"('court', -5.9022041150047295)","('judge', -6.294268439469361)","('ruling', -6.439191881222618)","('decision', -6.611722591655239)","('supreme', -6.62167994039959)","('appeals', -6.824045880230568)","('ruled', -6.870313140074417)","('justice', -6.873021800064721)","('trial', -6.948140401191418)","('jury', -6.987116211681707)"
satellites,"('satellite', -7.148691683144534)","('satellites', -7.650234890704743)","('communications', -8.410514342825842)","('space', -8.506143207519354)","('orbit', -8.690928276538816)","('cable', -8.69104727431929)","('technology', -8.77921741691617)","('television', -8.781542481745326)","('companies', -8.79808291535137)","('launching', -8.800409773687901)"
economic conditions and trends,"('economic', -6.198864819440348)","('economy', -6.332704290556956)","('growth', -6.882823802316684)","('bank', -6.904560641519699)","('billion', -6.907459858988459)","('market', -6.945972617255144)","('rate', -6.979606386685376)","('inflation', -7.020071945297654)","('foreign', -7.029700526805654)","('prices', -7.129474592825412)"
election issues,"('bush', -6.309955931037356)","('campaign', -6.312358662394003)","('republican', -6.505453177748928)","('democratic', -6.671166737973091)","('democrats', -6.759618384463901)","('voters', -6.768554700402334)","('election', -6.7889121499836325)","('clinton', -6.822746642687236)","('republicans', -6.8478500602063095)","('senator', -6.881991375394769)"
government bonds,"('bonds', -6.046363917822466)","('bond', -6.227385108210716)","('treasury', -6.323758676642152)","('yield', -6.354110955552276)","('securities', -6.578982245679278)","('market', -6.684921102521759)","('investors', -6.7780788124710085)","('notes', -6.8426377205143565)","('rates', -6.863267707880678)","('rate', -6.91104639887899)"
records and achievements,"('record', -6.959516616543775)","('game', -8.03713007454699)","('season', -8.11540162940031)","('billion', -8.183018370948766)","('games', -8.252548748031522)","('market', -8.26707248268115)","('hit', -8.306069337753076)","('baseball', -8.340222625682486)","('rose', -8.353083939376797)","('league', -8.382930344472676)"
auctions,"('auction', -6.436402026418528)","('sotheby', -7.039333815154576)","('christie', -7.256379874204162)","('sale', -7.336283501025718)","('sold', -7.514386091411511)","('auctions', -7.571672054784036)","('art', -7.6086615137363784)","('auctioned', -7.855316743643729)","('price', -7.94677703157074)","('sell', -7.961829702716471)"
