company reports,"('amex', -5.211085144866019)","('discontinued', -5.618139282572193)","('b1', -5.798886604494445)","('01', -5.82673857213189)","('02', -5.948127118431862)","('03', -6.019199039200537)","('respectively', -6.031137196260979)","('04', -6.105005230861835)","('05', -6.1054368021531875)","('06', -6.122930199970927)","('07', -6.158774913732408)","('08', -6.188779909082163)","('b2', -6.239610516468859)","('09', -6.270049997439826)","('bancorp', -6.41081352321991)","('restated', -6.433686808621377)","('credits', -6.530837683622718)","('b3', -6.623665309117045)","('pretax', -6.770951444515765)","('b4', -6.811898229367177)"
bridges and tunnels,"('tunnel', -6.523437340656372)","('bridges', -6.739204381441456)","('tunnels', -7.390963731197357)","('tolls', -7.461830521706991)","('toll', -7.561450329944088)","('transit', -7.625221236965136)","('rail', -7.697735163229544)","('lanes', -7.787356776357324)","('trains', -7.866262157664696)","('commuters', -8.107472577501419)","('williamsburg', -8.15306540070315)","('triborough', -8.166854769111827)","('repairs', -8.206777065967676)","('engineers', -8.235237123616038)","('roadway', -8.244897482071307)","('span', -8.250997482507781)","('congestion', -8.281866966174713)","('crossing', -8.283235398310987)","('eurotunnel', -8.288447624411528)","('motorists', -8.376263829430295)"
united states international relations,"('saddam', -6.258066714585816)","('baghdad', -6.380465145493586)","('afghanistan', -6.468019365778474)","('nato', -6.524027552473266)","('iraqis', -6.62854957521599)","('sanctions', -6.7067608391647076)","('palestinians', -6.841463127165048)","('missiles', -6.8883949063254635)","('embassy', -6.907139434028801)","('saudi', -6.946382242037382)","('treaty', -6.947048454207039)","('missile', -6.979089938546928)","('kuwait', -7.0062011134194995)","('pakistan', -7.020999465694644)","('bosnia', -7.0245369713306)","('invasion', -7.044653838567639)","('terrorists', -7.0700143832881075)","('qaeda', -7.077288784500611)","('powell', -7.099687042217143)","('kosovo', -7.1153778438980755)"
kidnapping,"('kidnapping', -6.228131044602074)","('kidnapped', -6.7092221394443925)","('abducted', -7.0816994691216095)","('abduction', -7.199293577538395)","('kidnappers', -7.234313154390943)","('ransom', -7.38653823205298)","('hostages', -7.499557995181098)","('kidnappings', -7.646580353965931)","('hostage', -7.6611691211514845)","('lebanon', -7.952867399973705)","('captors', -8.121344739893045)","('freed', -8.132477358825131)","('baghdad', -8.159184437028099)","('abductions', -8.167572059206247)","('custody', -8.209232193607221)","('kidnap', -8.213516222536557)","('shiite', -8.21973876099199)","('beirut', -8.254157872418855)","('gunmen', -8.29352455137964)","('suspects', -8.294188051270599)"
hostages,"('hostages', -6.0178917229389)","('hostage', -6.2909261039616835)","('lebanon', -6.952403914449719)","('iranian', -7.301522371210845)","('beirut', -7.348046135113363)","('kidnappers', -7.524062836819352)","('freed', -7.600325965029132)","('kidnapped', -7.669280055515268)","('captors', -7.7615964930858805)","('lebanese', -7.763616340371094)","('prisoners', -7.871006553852025)","('kidnapping', -7.874954066581344)","('shiite', -7.920233427679845)","('embassy', -7.925021667217739)","('teheran', -7.947379183101171)","('rebels', -7.964965646273038)","('captives', -7.9774116613016055)","('terrorists', -8.08428428417167)","('captivity', -8.109965394484918)","('kuwait', -8.114073329310083)"
international relations,"('saddam', -6.351234502930865)","('baghdad', -6.463103938025868)","('afghanistan', -6.512180319721721)","('nato', -6.5474985920843825)","('treaty', -6.600145309650886)","('palestinians', -6.700318308327407)","('sanctions', -6.702346761743818)","('iraqis', -6.742178341324144)","('missiles', -6.888895210413244)","('embassy', -6.905719111676184)","('pakistan', -6.911294596327795)","('saudi', -6.929366092077135)","('missile', -6.944609975378628)","('kuwait', -6.969896940702932)","('gorbachev', -7.015109186100299)","('israelis', -7.024032188943119)","('bosnia', -7.0560577920909076)","('iranian', -7.066654079199683)","('invasion', -7.0757798939894325)","('arafat', -7.095960427443469)"
track and field,"('meter', -6.043922357705348)","('meters', -6.084050508165308)","('championships', -6.5005142723437075)","('olympics', -6.583877586170674)","('athletes', -6.67082978417658)","('indoor', -6.863280420701885)","('relay', -6.95992504918436)","('medal', -6.972770829581327)","('hurdles', -7.078580239965709)","('fastest', -7.209370713635383)","('sprinter', -7.239776661682901)","('athlete', -7.2609335702403985)","('runner', -7.3129911858400485)","('holder', -7.390734351453601)","('medals', -7.391448182130816)","('runners', -7.4320798493911475)","('joyner', -7.433389027200418)","('millrose', -7.52259897134957)","('kersee', -7.530875300776951)","('trials', -7.565495277267399)"
television,"('programming', -6.239568231917807)","('broadcasting', -6.5724436788298455)","('channels', -6.779420433549756)","('commercials', -6.9043490840163715)","('pbs', -6.9259738947610945)","('nielsen', -6.9550849242934545)","('cnn', -7.01328584961399)","('documentary', -7.065384690500441)","('advertisers', -7.070712508713394)","('episodes', -7.089849875693216)","('hbo', -7.090949745621684)","('espn', -7.1909547416146875)","('satellite', -7.207457163764602)","('broadcasters', -7.307046016119182)","('subscribers', -7.354858014716174)","('disney', -7.374596789377383)","('anchor', -7.380155043762267)","('broadcasts', -7.416346176245011)","('mtv', -7.481850116675003)","('premiere', -7.507285611915683)"
wages and salaries,"('wage', -5.8914982974494965)","('salaries', -6.118190245182748)","('wages', -6.1974995155924155)","('compensation', -6.4734519519397935)","('pension', -7.1309272940285355)","('bonuses', -7.147935485585655)","('employers', -7.152903577241264)","('bargaining', -7.190803372438648)","('bonus', -7.201334814479264)","('arbitration', -7.382051220865195)","('payroll', -7.413181560818837)","('concessions', -7.479080448321177)","('overtime', -7.608143903100507)","('productivity', -7.6337429331078095)","('pilots', -7.656620172561365)","('earning', -7.723744518937121)","('layoffs', -7.725826187484378)","('hourly', -7.85700186906617)","('pensions', -7.87263712079497)","('negotiated', -7.901143562425245)"
judges,"('judicial', -6.2328186424065315)","('judiciary', -6.782324808124479)","('nominees', -7.32313390969714)","('justices', -7.502170215371982)","('confirmation', -7.737642630446065)","('nominee', -7.808318457437645)","('appellate', -7.894780434057083)","('nominated', -7.991672772908787)","('judgeships', -8.037426572671961)","('courtroom', -8.084483643501434)","('nominations', -8.112763786680706)","('abortion', -8.121156967948313)","('defendants', -8.217710135735464)","('defendant', -8.295306262103473)","('appointments', -8.324950745322054)","('filibuster', -8.35314521929885)","('courthouse', -8.399434689722739)","('rulings', -8.418492231160673)","('rehnquist', -8.424932423649155)","('clarence', -8.47050642721337)"
courts,"('judicial', -5.985100927995465)","('judiciary', -6.62594729377649)","('courthouse', -7.149684025738139)","('justices', -7.169303330649952)","('courtroom', -7.220783559900838)","('nominees', -7.3023596006094476)","('jurors', -7.3933214228405)","('appellate', -7.417748140956763)","('defendants', -7.460175114489431)","('defendant', -7.601219486743264)","('trials', -7.622524512032993)","('proceedings', -7.7596722702783545)","('confirmation', -7.773669910747637)","('courtrooms', -7.881366357746536)","('nominated', -7.8976512688248395)","('judgeships', -7.918030385759174)","('nominee', -7.9489458885598765)","('nominations', -7.990447904924083)","('kaye', -8.029598446681772)","('wachtler', -8.079181302024079)"
international trade and world market,"('exports', -5.705864033788772)","('imports', -5.863005844188023)","('sanctions', -5.987309047753831)","('export', -6.204581840130623)","('tariffs', -6.340950471845291)","('embargo', -6.672090941858548)","('import', -6.675829411628209)","('surplus', -6.739562739742961)","('crude', -6.844083938400603)","('barrels', -6.9927327444201826)","('imported', -6.9929893690290985)","('opec', -7.0246792343740445)","('barriers', -7.058063358905168)","('barrel', -7.060687971550465)","('subsidies', -7.103166661710218)","('agriculture', -7.121339110188239)","('exporting', -7.127803318230877)","('accord', -7.1390039224400805)","('pact', -7.148470236908746)","('agreements', -7.17709879211813)"
conventions and conferences,"('summit', -6.445341974112746)","('delegates', -6.857245524779201)","('gorbachev', -6.9628855622131)","('conventions', -7.4271551986879984)","('treaty', -7.461001297250968)","('mikhail', -7.637513960151556)","('kerry', -7.803412695578347)","('gore', -7.8547505725789915)","('protesters', -7.87511615205619)","('delegation', -7.915215764885505)","('delegate', -7.944070173581725)","('platform', -8.017190934287262)","('dukakis', -8.055823137019896)","('abortion', -8.09661775624387)","('missiles', -8.114205123102066)","('speakers', -8.117172351430831)","('dole', -8.137943622898684)","('yeltsin', -8.186944106245765)","('nominee', -8.228214477953262)","('speeches', -8.24796060653784)"
arms sales abroad,"('contra', -6.291342333642007)","('contras', -6.917897966022015)","('colonel', -6.950618528397932)","('oliver', -7.038033222369748)","('poindexter', -7.0409028954610875)","('nicaraguan', -7.176663635056122)","('missiles', -7.294573220063719)","('rebels', -7.313046252340188)","('col', -7.469170633924417)","('secord', -7.469867056178078)","('lieut', -7.488755234492301)","('committees', -7.5017724508117505)","('walsh', -7.558086988243078)","('mcfarlane', -7.600535466362681)","('hostages', -7.624141622813935)","('iranian', -7.637081219942393)","('diversion', -7.642582710460925)","('missile', -7.674376430651107)","('export', -7.726536097796771)","('admiral', -7.745094150999276)"
foreign aid,"('rebels', -7.13190707682159)","('humanitarian', -7.21412959504789)","('monetary', -7.265518021132235)","('contras', -7.289845470422185)","('afghanistan', -7.333310309369604)","('nicaragua', -7.385386351995191)","('nicaraguan', -7.422290852340594)","('refugees', -7.488269978921584)","('contra', -7.5990375347289545)","('afghan', -7.669968846446897)","('pakistan', -7.674056535597552)","('gorbachev', -7.722557373206667)","('yeltsin', -7.7373873876737465)","('guerrillas', -7.756025606180737)","('bosnia', -7.801232998295441)","('donors', -7.805040139531437)","('reforms', -7.823131932859928)","('rebel', -7.8363290736589715)","('republics', -7.838829644553488)","('pledged', -7.853638032734453)"
"armament, defense and military forces","('saddam', -6.332446296599344)","('baghdad', -6.346875087991846)","('missile', -6.364741461014714)","('missiles', -6.408002342018981)","('afghanistan', -6.4743876358836205)","('iraqis', -6.617391936392616)","('nato', -6.647226453102541)","('treaty', -6.703681912110809)","('kuwait', -6.891908389690491)","('saudi', -6.952124569713435)","('pakistan', -7.001763744668493)","('marines', -7.034446041930257)","('invasion', -7.045982417661053)","('civilians', -7.051415023387561)","('commanders', -7.064341097841545)","('qaeda', -7.076883205694607)","('terrorists', -7.078967762096438)","('colonel', -7.08737183653958)","('rumsfeld', -7.106169917459003)","('arabia', -7.167763777246208)"
civil war and guerrilla warfare,"('rebels', -5.7084792369115895)","('bosnia', -6.036745158605748)","('rebel', -6.0836186121043525)","('guerrillas', -6.087844049951466)","('serbs', -6.160405911030548)","('bosnian', -6.164755992665818)","('serbian', -6.208326794408106)","('cease', -6.4045433094843265)","('guerrilla', -6.409465667349593)","('contras', -6.6835993206454365)","('refugees', -6.707159367450662)","('sarajevo', -6.720014931796894)","('civilians', -6.728808260484312)","('nato', -6.781922034404951)","('nicaragua', -6.826192517553281)","('serb', -6.839307519323268)","('serbia', -6.862844633638109)","('nicaraguan', -6.863126247678254)","('muslims', -6.884775890346098)","('contra', -6.906922423308554)"
war and revolution,"('rebels', -5.975865414872472)","('bosnia', -6.298883144761314)","('rebel', -6.344441771186706)","('guerrillas', -6.352161536831369)","('serbs', -6.429398670487674)","('bosnian', -6.438876444399518)","('serbian', -6.476468603297268)","('cease', -6.59094551295389)","('guerrilla', -6.659970230298455)","('civilians', -6.766241860054796)","('refugees', -6.883922665218636)","('prisoners', -6.892308679382781)","('contras', -6.96296982121586)","('nato', -6.986377352073227)","('afghanistan', -6.995437545899038)","('sarajevo', -6.998022591827718)","('nicaragua', -7.09354761623063)","('muslims', -7.094703118373967)","('serb', -7.105757047027575)","('serbia', -7.1238831613343985)"
sales,"('contra', -6.677828402740715)","('bath', -6.755795242148274)","('retailers', -7.044732427717199)","('garage', -7.166344428269782)","('chrysler', -7.229598618873082)","('fireplace', -7.268349404117454)","('contras', -7.304593834816258)","('colonel', -7.3311008309764985)","('colonial', -7.389552848454402)","('oliver', -7.408303686648609)","('motors', -7.409022858325829)","('poindexter', -7.429344282919317)","('toyota', -7.431227165394898)","('ranch', -7.489808364339759)","('tenths', -7.519553185056425)","('nicaraguan', -7.55760874260318)","('adjusted', -7.6352372840496265)","('honda', -7.639797271979921)","('seasonally', -7.658010407224295)","('missiles', -7.671982202959044)"
smuggling,"('smuggling', -6.875642677855538)","('smugglers', -7.546209461711932)","('smuggled', -7.900664838677055)","('customs', -7.936540931627546)","('cocaine', -8.093695530465858)","('smuggle', -8.199655340894152)","('immigration', -8.27944782047653)","('trafficking', -8.33396024535683)","('heroin', -8.608215471211832)","('traffickers', -8.694109642029957)","('colombia', -8.746828615260451)","('indictment', -8.830198375846996)","('illegally', -8.83238317293067)","('contraband', -8.910593158143818)","('colombian', -8.931515871257961)","('smuggler', -8.98220014046987)","('narcotics', -8.998092813489748)","('cigarettes', -9.06566673544713)","('patrol', -9.067836210089332)","('cargo', -9.078285685193126)"
music,"('album', -6.135489077878059)","('symphony', -6.314593196654218)","('pianist', -6.420615042747521)","('singers', -6.605393859066941)","('guitar', -6.614108242118833)","('mozart', -6.746410753701774)","('sang', -6.753612579230513)","('philharmonic', -6.764293682321281)","('soprano', -6.767299586854709)","('quartet', -6.771581737518599)","('composers', -6.812021181007082)","('cd', -6.823255781273365)","('conductor', -6.8314989265177255)","('blues', -6.83285924117984)","('beethoven', -6.901450468241121)","('concerto', -6.922566063683906)","('carnegie', -6.936008696106002)","('recital', -6.956989825806301)","('recordings', -6.961026193518581)","('vocal', -6.979270066156265)"
entertainment and amusements,"('718', -7.633504928626103)","('saturdays', -7.874675564828927)","('sundays', -7.965948164156254)","('fridays', -8.428392810302137)","('tuesdays', -8.491856833733824)","('pianist', -8.536168455137538)","('circus', -8.53864594837806)","('blues', -8.559476705610633)","('workshop', -8.566647866687754)","('album', -8.567437921470011)","('boulevard', -8.59663446768469)","('puppet', -8.662195053740767)","('wednesdays', -8.714324143036414)","('crafts', -8.724595678859501)","('thursdays', -8.73920025050894)","('cabaret', -8.750359041942355)","('mondays', -8.764408800553573)","('singers', -8.765907038121714)","('workshops', -8.78796193897609)","('clown', -8.802700924193262)"
jazz,"('saxophonist', -7.019469457642393)","('pianist', -7.128987578615233)","('blues', -7.14596970799276)","('album', -7.305573849704715)","('rhythm', -7.359633180167588)","('saxophone', -7.3824700188820565)","('drummer', -7.38914282184575)","('drums', -7.392945669861495)","('bassist', -7.548846288480362)","('trio', -7.550715173814451)","('quartet', -7.559433093705105)","('marsalis', -7.571299249372345)","('ellington', -7.608771025871807)","('trumpeter', -7.617210848857517)","('solos', -7.625384195144461)","('bop', -7.626890566791253)","('tenor', -7.689118931913573)","('tunes', -7.735794360984203)","('bands', -7.740227693374626)","('guitar', -7.755376883317524)"
"suspensions, dismissals and resignations","('resign', -6.486643770123585)","('suspension', -6.831968150973436)","('successor', -7.029452432847642)","('dismissal', -7.157710671276254)","('tenure', -7.389795150127488)","('resigning', -7.4622675714225615)","('duties', -7.527945794314814)","('addenda', -7.5351588993553476)","('chancellor', -7.730783617216578)","('resignations', -7.776835982134309)","('interim', -7.818976744918378)","('retire', -7.910256861528161)","('coaching', -7.961107281156878)","('responsibilities', -8.010095853278603)","('superintendent', -8.128956170339183)","('dismissals', -8.134842269103828)","('dismiss', -8.153679482838093)","('suspensions', -8.163139616372797)","('firing', -8.173774425865904)","('misconduct', -8.173779455478105)"
executives and management,"('compensation', -6.943284002528509)","('enron', -7.27227935088914)","('shareholder', -7.543107772943981)","('governance', -7.5565728132993755)","('bonuses', -7.93493331884045)","('bonus', -8.023610072803004)","('worldcom', -8.065934240670712)","('proxy', -8.078768124590813)","('salaries', -8.186315465717868)","('pension', -8.205354565795018)","('consultants', -8.206884660876096)","('regulators', -8.219021026172097)","('packages', -8.248007219101886)","('severance', -8.258197078385006)","('institutional', -8.283214017096984)","('scandals', -8.297242771883482)","('citigroup', -8.310941815330098)","('merrill', -8.334090936645724)","('tyco', -8.366790337416692)","('disney', -8.446392697677389)"
appointments and executive changes,"('addenda', -6.257759900274465)","('succeeding', -6.599623728201542)","('succeeds', -6.62078593716254)","('confirmation', -6.860907896308506)","('nominee', -7.077554052591177)","('successor', -7.142299654284712)","('duties', -7.181426760028878)","('appointments', -7.2148627297479155)","('nominated', -7.215650137081413)","('retire', -7.2944512146440825)","('replaces', -7.30694175559972)","('posts', -7.329713093969176)","('judiciary', -7.336583546321499)","('responsibilities', -7.421499471745779)","('oversee', -7.432420192698683)","('nominees', -7.433549598360694)","('judicial', -7.4550202421104315)","('bork', -7.5342202560926825)","('interpublic', -7.5367061756922356)","('retiring', -7.5543317633051945)"
restaurants,"('chef', -6.13784484363634)","('salad', -6.408875138885175)","('grilled', -6.456965506158579)","('entrees', -6.5545083936233555)","('shrimp', -6.599330177362837)","('fried', -6.6936311068705585)","('roasted', -6.697138915755864)","('appetizers', -6.710984262353031)","('dish', -6.740965338772065)","('desserts', -6.746945143560512)","('diners', -6.802955437560987)","('garlic', -6.855502021786351)","('chocolate', -6.864397330434171)","('steak', -6.875284496823074)","('beef', -6.888652034276106)","('tomato', -6.909969694000544)","('lamb', -6.928154162901465)","('seafood', -6.9373951227788355)","('pork', -6.9394073952097575)","('soup', -6.94118287941904)"
grain,"('wheat', -6.7025218887723925)","('corn', -6.784785165382964)","('grain', -6.914128162463173)","('bushel', -7.133036354874848)","('futures', -7.20460587416513)","('agriculture', -7.268177640146634)","('crop', -7.417372566660385)","('soybean', -7.4707464587615044)","('tons', -7.502362021325041)","('soybeans', -7.603962945698596)","('metric', -7.784494037475126)","('crops', -7.805632918092825)","('harvest', -7.874624573055623)","('cent', -7.883183753969062)","('mercantile', -8.015336516409585)","('bushels', -8.098214951310489)","('export', -8.134007230114388)","('agricultural', -8.189976508590401)","('commodity', -8.206698157795326)","('traders', -8.225900569427619)"
baseball,"('inning', -5.47526462153252)","('innings', -5.6261375524991815)","('sox', -5.864590262987328)","('pitching', -5.877733103202879)","('hitter', -6.056971297997434)","('torre', -6.124457056617449)","('pitched', -6.180403289358457)","('baseman', -6.181889362029599)","('steinbrenner', -6.192457845035904)","('pitchers', -6.235016263312872)","('batting', -6.300545513709625)","('homer', -6.3546811866955535)","('hander', -6.358112220945714)","('braves', -6.364301554117603)","('bat', -6.370709121363356)","('batted', -6.385755222485697)","('pitches', -6.40390188766266)","('dodgers', -6.415478437850136)","('leagues', -6.445295729821398)","('catcher', -6.496548659836247)"
islam,"('muslims', -6.011897970626807)","('islam', -6.189602632192555)","('mosque', -6.752514366912137)","('pakistan', -7.072062580105478)","('militants', -7.119160233915736)","('afghanistan', -7.2049909412367175)","('saudi', -7.206363549899781)","('militant', -7.316645437904093)","('egypt', -7.345971887433811)","('shiite', -7.370559107582455)","('sheik', -7.385131600894687)","('secular', -7.398341198356684)","('koran', -7.431279509201263)","('iranian', -7.438836099234836)","('mosques', -7.440918006044935)","('ayatollah', -7.488251895431057)","('muhammad', -7.492450799405448)","('arabia', -7.4937454448685745)","('ali', -7.5100166785604525)","('fundamentalist', -7.514935510597692)"
religion and churches,"('muslims', -6.58233798037446)","('islam', -6.761442460695193)","('holocaust', -6.767281202379783)","('priests', -6.800196413396555)","('orthodox', -6.817463253384566)","('churches', -6.8862406779073675)","('christians', -6.994516181784284)","('prayer', -7.010345062078088)","('nazi', -7.072049171949951)","('priest', -7.082621914451532)","('secular', -7.0976756534684435)","('pope', -7.09955369095626)","('bishop', -7.117943679168459)","('vatican', -7.133327851673508)","('bishops', -7.162330784822427)","('congregation', -7.1895371102132195)","('synagogue', -7.1949624374377565)","('catholics', -7.2237907649445345)","('cardinal', -7.246263353888517)","('jesus', -7.274729903677112)"
united states armament and defense,"('saddam', -6.18753968843127)","('baghdad', -6.2119662881864075)","('afghanistan', -6.3759277610238465)","('iraqis', -6.437674414470968)","('nato', -6.638665093377888)","('missiles', -6.642678341317701)","('missile', -6.646479477875705)","('marines', -6.789657255984968)","('kuwait', -6.873290769185803)","('rumsfeld', -6.878997176393536)","('saudi', -6.894364186396546)","('qaeda', -6.905554032246913)","('taliban', -6.947275488087864)","('invasion', -6.985213704854847)","('commanders', -6.991336233383668)","('terrorists', -6.999273176333436)","('civilians', -7.101205620607712)","('arabia', -7.11208091883197)","('cheney', -7.147793183479797)","('soldier', -7.157116414685246)"
united states economy,"('greenspan', -6.303629197768243)","('tenths', -6.409140140931753)","('productivity', -6.766267417311931)","('indicators', -6.806332829165861)","('monetary', -6.887817383160725)","('wages', -6.957010473152501)","('slowdown', -7.017304477667918)","('exports', -7.074904395701796)","('output', -7.1063342388575155)","('wage', -7.131446573108262)","('slowing', -7.148277765434477)","('inventories', -7.153805308216667)","('durable', -7.181590115337191)","('adjusted', -7.267049671323501)","('dow', -7.270592727936643)","('deficits', -7.2842289900295425)","('forecast', -7.289610501212814)","('stimulus', -7.2915387833581535)","('incomes', -7.297859411406251)","('euro', -7.310130763763401)"
boats and boating,"('yacht', -6.2506547028129535)","('boats', -6.407715231260353)","('sailing', -6.785256775494924)","('sail', -6.950584795713015)","('conner', -7.058412132690866)","('zealand', -7.133607589012621)","('skipper', -7.262602563658302)","('boating', -7.3103323214012965)","('sailors', -7.388166694737523)","('yachts', -7.391301192596275)","('yachting', -7.505994397656276)","('sailed', -7.583672208365755)","('sailboat', -7.590886757789271)","('regatta', -7.623352779163709)","('sailor', -7.6731944219861745)","('stripes', -7.70115269716297)","('syndicate', -7.721345841714094)","('aboard', -7.8463990309885965)","('pier', -7.8780486740860365)","('vessel', -7.920178396786216)"
